# ./probe-noshim-g912 a594482bc0512d49c7b472743821ebe6 N=50 2026-08-30T11:50:28+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf 50 34105521
stretch-r5-8x432 sum-only-early 50 15925392
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2 50 1789584
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2-down 50 1809249
stretch-rank10 mut-odo-vecdims-add-in-leaf-down 50 1799417
stretch-rank10 mut-odo-vecdims-add-in-leaf 50 1868298
stretch-rank10 sum-only-early 50 531474
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2 50 229091
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2-down 50 231143
stretch-rank12 mut-odo-vecdims-add-in-leaf-down 50 216812
stretch-rank12 mut-odo-vecdims-add-in-leaf 50 224988
stretch-rank12 sum-only-early 50 36917
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2 50 30588720
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2-down 50 32384345
stretch-square-1341 mut-odo-vecdims-add-in-leaf-down 50 30591387
stretch-square-1341 mut-odo-vecdims-add-in-leaf 50 32388331
stretch-square-1341 sum-only-early 50 16184642
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2 50 43262188
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2-down 50 44161713
stretch-tab7MB mut-odo-vecdims-add-in-leaf-down 50 40557956
stretch-tab7MB mut-odo-vecdims-add-in-leaf 50 41461695
stretch-tab7MB sum-only-early 50 16200170
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2 50 30605316
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2-down 50 32405322
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-down 50 30605780
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf 50 32405784
stretch-tall-Mx2 sum-only-early 50 16200069
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2 50 43205781
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2-down 50 44106345
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-down 50 40505762
stretch-wide-2xM mut-odo-vecdims-add-in-leaf 50 41405288
stretch-wide-2xM sum-only-early 50 16200133
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2 50 24203649
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 24504707
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-down 50 24504060
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf 50 25407865
vgg-14-c512-k3 sum-only-early 50 8128616
# end 2026-08-30T11:50:59+02:00
