# ./probe-ship-g912 56de54004a015275febc5643f783843a N=50 2026-08-30T11:51:14+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf 50 34105526
stretch-r5-8x432 sum-only-early 50 15925387
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2 50 1681325
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2-down 50 1661624
stretch-rank10 mut-odo-vecdims-add-in-leaf-down 50 1799417
stretch-rank10 mut-odo-vecdims-add-in-leaf 50 1868298
stretch-rank10 sum-only-early 50 531497
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2 50 214758
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2-down 50 212695
stretch-rank12 mut-odo-vecdims-add-in-leaf-down 50 216812
stretch-rank12 mut-odo-vecdims-add-in-leaf 50 224980
stretch-rank12 sum-only-early 50 36917
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2 50 26994811
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2-down 50 26993504
stretch-square-1341 mut-odo-vecdims-add-in-leaf-down 50 30591421
stretch-square-1341 mut-odo-vecdims-add-in-leaf 50 32388354
stretch-square-1341 sum-only-early 50 16184654
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2 50 39658982
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2-down 50 38758415
stretch-tab7MB mut-odo-vecdims-add-in-leaf-down 50 40558993
stretch-tab7MB mut-odo-vecdims-add-in-leaf 50 41461712
stretch-tab7MB sum-only-early 50 16200133
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2 50 27005774
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2-down 50 27005785
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-down 50 30605801
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf 50 32405800
stretch-tall-Mx2 sum-only-early 50 16200069
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2 50 39605775
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2-down 50 38705761
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-down 50 40506325
stretch-wide-2xM mut-odo-vecdims-add-in-leaf 50 41406343
stretch-wide-2xM sum-only-early 50 16200139
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2 50 22697771
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 22396650
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-down 50 24504063
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf 50 25407871
vgg-14-c512-k3 sum-only-early 50 8128634
# end 2026-08-30T11:51:45+02:00
