# ./probe-fillB-g912 dc5a7038aeddf1e1de5e1e3aa77630a8 N=50 2026-08-30T20:10:44+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf 50 34105515
stretch-r5-8x432 sum-only-early 50 15925395
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2 50 1720691
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2-down 50 1700990
stretch-rank10 mut-odo-vecdims-add-in-leaf-down 50 1917515
stretch-rank10 mut-odo-vecdims-add-in-leaf 50 1868298
stretch-rank10 sum-only-early 50 531497
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2 50 218853
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2-down 50 216791
stretch-rank12 mut-odo-vecdims-add-in-leaf-down 50 225004
stretch-rank12 mut-odo-vecdims-add-in-leaf 50 224975
stretch-rank12 sum-only-early 50 36917
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2 50 28791770
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2-down 50 28790416
stretch-square-1341 mut-odo-vecdims-add-in-leaf-down 50 34187963
stretch-square-1341 mut-odo-vecdims-add-in-leaf 50 32388346
stretch-square-1341 sum-only-early 50 16184638
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2 50 41458992
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2-down 50 40558958
stretch-tab7MB mut-odo-vecdims-add-in-leaf-down 50 44158994
stretch-tab7MB mut-odo-vecdims-add-in-leaf 50 41461134
stretch-tab7MB sum-only-early 50 16200131
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2 50 28805774
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2-down 50 28805296
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-down 50 34206337
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf 50 32405297
stretch-tall-Mx2 sum-only-early 50 16200070
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2 50 41406309
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2-down 50 40506321
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-down 50 44106324
stretch-wide-2xM mut-odo-vecdims-add-in-leaf 50 41405761
stretch-wide-2xM sum-only-early 50 16200134
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2 50 23299875
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 22998800
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-down 50 26310414
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf 50 25407856
vgg-14-c512-k3 sum-only-early 50 8128647
# end 2026-08-30T20:11:15+02:00
